"comment","like_count","panjang"
"sholat & sabar sebagai penolong kita ,semua manusia pasti ada ujian nya, semoga mba linda & semua nya .diberi kesabaran,dikuatkan iman islam nya ,serta dimudahkan segala urusannya..aamiin yra","0","191"
"perbaiki 8badah sholat 5 waktu bangun ditengah malam sholat tahajud kemudian ngaji puasa senin kamis jika memungkn kan bersedekah tdk perlu banyak setiap jumatmisalnya ngasih makan orang pemulung meski murah meriah rutinkn insya allah k","0","236"
"aamiin...teruslah husnudzon kepada allah ...yakinlah pasti akan datang pertolongan dr allah...karna allah maha pemberi pertolongan dan jg maha melihat dan maha tidak tidur","0","171"
"kembalikan kepada allah. ada hikmah yang akan diperoleh setelah semua selesai. dan akan ada banyak rasa syukur setelah ini. insyaallah. semangat ya.","0","148"
"sama kita sama sama berdoa ya .. siman youtube ini buat semangat hadapin masalah","0","80"
"semoga allah mudahkan segala urusan baik bunda. aamiin","0","54"
"aamiin ya rabbal aalamiin semoga allah mudahkan untuk bisa segera selesai masalah nya bun...","0","92"
"husnudzon bagus itu... yg penting jangan paksakan hidup menurut ukuran kita.. tapi pasrahkan pada ukuran yg diberikan allah.. sebelumnya ikhlaskan dan bersabar. . (self reminder)","0","178"
"semoga antum dberi sgr jln kluar oleh allah & di berkahi sgl urunny","0","67"
"semangat terus bunda bismillah bisa.. allah slalu ada untuk kita","0","64"
"mohon maaf sekedar berbagi maafkan jika kata2 ini menyinggung perasaan. sebelum kita mengadu kpd allah atas permasalahan yg kita hadapi cobalah kita introspeksi diri terlebih dahulu, apa penyebab masalah itu bisa timbul. jika kita cepat menyadari maka mohon ampunlah kpd allah dan mohonkanlah kpd allah untuk dimudahkan atas masalah yg kita hadapi dan mudah2an insya allah masalah itu akan cepat selesai dgn baik tanpa merugikan siapapun. semoga bermanfaat.","0","457"
"aamiin semoga allah swt menguatkan mental kita dalam menghadapi setiap cobaan","0","77"
"semoga allah segera menyelesaikan semuanya, aamiin","0","50"
"aamiin yra, semoga menjadi kafarat atas segala dosa2 ya ukhti, semoga allah berikan jalan keluar terbaik","0","104"
"yakinlah....allah pasti menolong...tawakkal...trima semua ketetapan allah insya allah semua pasti berlalu...","0","108"
"aamiin yra semoga allah swt mudahkan segala urusan.","0","51"
"semoga allah mudahkan kak.. semangaat terua ya kak","0","50"
"aamiin, semoga diberi kekuatan dan ketenangan oleh allah","0","56"
"smga segera teratasi dan dimudahkan oleh allah swt. aamiin","0","58"
"sama mbaa ,, kita sbgai umat allah harus kuat pasti bisa krna allah ngsh kita ujian psti bakal ada jalan kluar juga buat kita ,, sya aja ampir putus asa mba sama mslah yg lagi sya alamin udh d ttik dmna nyerah ga bsa buat apa apa ,,sya kuat krna allah mba gada tmpat aduan selain kpda allah ,,org tua pun sdh gada smua","0","318"
"ya allah sama seperti saya lagi ketimpa musibah anak dijadikan umpan temannya ..","0","80"
"sama, semoga allah tetap memberikan kita kekuatan untuk melewati cobaannya","0","74"
"aamin,moga allah sll mmbrkn kemudahan dan kelancaran dlm sgl urusan","0","67"
"sama kk, saya juga sedang terguncang masalah yang sangat besar dan skrg berimbas kepada rumah tangga saya, kita saling mendoakan dan semoga allah selalu menguatkan hati dan pikiran saya dalam menghadapi masalah dan allah selalu memberi kemudahan dan jalan keluar dalam masalah saya","0","281"
"aamiin , semoga semoga allah mengangkat semua kesulitan kk..","0","60"
"semoga masalah jita cepat allah tuntaskan dan di berikan jalan keluar yg terbaik","0","80"
"in sya allah ada jalan keluar yang tidak terduga dari allah swt. tetap berbuat baik untuk mendapatkan ridlo allah swt","0","117"
"aamiin aamiin ya allah ya rabbal alamin , semoga kita semua selalu dalam lindungan allah aamiin","0","95"
"inshaa'allah allah kuasa mahkluk tak kuasa... jgn goyang iman & selalulah taat dalam kesusahan","0","94"
"semangat slalu saudaraku dlm menjalankan ketetapan allah....","0","60"
"amiin saudaraku.. semoga doa qta semua dikabul allah","0","52"
"aamiin.. semoga allah berikan jalan keluar terbaik dan memudahkan segala urusan,","0","80"
"sama sis..lg puyeng 7 keliling..semoga kita bs menjalaninya dan ikhlas dan semoga allah memberikan jalan kepada kita ...tetap tawakal bdoa n usaha..allah akan memberikan hadiah yang tidak disangka2 suatu saat amin..kesusahan kesulitan ekonomi,hidup,sodara,semoga bisa dilalui dan segera pergi","0","292"
"aamiin ya allah ya rabalalaamiin semoga allah memberikan kemudahan, kelancaran dan jalan keluar","0","95"
"semoga cepat selesai masalah ya uhkty. alhamdulillah sy udah tuntas semua, insyaallah. udah di kubur mati masalahnya. badai pasti berlalu, lupakan dia jemput masa depan yg cerah, hiasi hidupmu dgn bunga bunga cinta yg mekar sepanjang hari, biarkan anjing menggonggong kafilah berlalu. tatap hari harimu dgn senyum bahagia, bunuh dia dlm kolbumu, karna dia cuma jadi racun dlm hidupmu.","0","384"
"allahumma aameen allahumma salli ala muhammad wa'ala ali muhammad","0","65"
